date,max_temperature,avg_hourly_temperature,avg_temperature,min_temperature,max_humidex,min_windchill,max_relative_humidity,avg_hourly_relative_humidity,avg_relative_humidity,min_relative_humidity,max_dew_point,avg_hourly_dew_point,avg_dew_point,min_dew_point,max_wind_speed,avg_hourly_wind_speed,avg_wind_speed,min_wind_speed,max_wind_gust,wind_gust_dir_10s,max_pressure_sea,avg_hourly_pressure_sea,avg_pressure_sea,min_pressure_sea,max_pressure_station,avg_hourly_pressure_station,avg_pressure_station,min_pressure_station,max_visibility,avg_hourly_visibility,avg_visibility,min_visibility,max_health_index,avg_hourly_health_index,avg_health_index,min_health_index,heatdegdays,cooldegdays,growdegdays_5,growdegdays_7,growdegdays_10,precipitation,rain,snow,snow_on_ground,sunrise_hhmm,sunrise_unixtime,sunrise_f,sunset_hhmm,sunset_unixtime,sunset_f,daylight,min_uv_forecast,max_uv_forecast,min_high_temperature_forecast,max_high_temperature_forecast,min_low_temperature_forecast,max_low_temperature_forecast,solar_radiation,max_cloud_cover_4,avg_hourly_cloud_cover_4,avg_cloud_cover_4,min_cloud_cover_4,max_cloud_cover_8,avg_hourly_cloud_cover_8,avg_cloud_cover_8,min_cloud_cover_8,max_cloud_cover_10,avg_hourly_cloud_cover_10,avg_cloud_cover_10,min_cloud_cover_10
2024-07-26,26.9,21.42,20.5,14.1,30,,75,53.9,53.5,32,13.6,11.3,10.8,7.9,16,9.88,10,4,,,102.37,102.21,102.21,102.05,100.29,100.13,100.14,99.98,24100,24100,24100,24100,,,,,0,2.5,15.5,13.5,10.5,0,0,0,,6:01:00,1721988060,6.02,20:46:00,1722041160,20.77,14.75,8,8,27,27,16,16,,,,,,5,2.3,2.5,0,,,,
2024-07-25,24.8,20.14,20.25,15.7,26,,100,62.9,69,38,16.4,12.1,12.1,7.8,30,19.75,20,10,43,33,102.24,102.06,102.04,101.85,100.17,99.99,99.98,99.79,24100,24100,24100,24100,,,,,0,2.2,15.2,13.2,10.2,0,0,0,,6:00:00,1721901600,6,20:47:00,1721954820,20.78,14.78,7,7,25,25,15,16,,,,,,7,2.2,3.5,0,,,,
2024-07-24,26.7,22.74,21.54,16.4,34,,100,79.5,80.5,61,22,18.9,18.4,14.8,34,15.04,17,0,53,24,101.81,101.58,101.63,101.46,99.75,99.53,99.58,99.41,24100,22962.5,15250,6400,,,,,0,3.5,16.5,14.5,11.5,22,22,0,,5:59:00,1721815140,5.98,20:48:00,1721868480,20.8,14.82,6,6,26,26,16,17,,,,,,8,5.4,5,2,,,,
2024-07-23,27.8,23.55,23.45,19.1,32,,95,61.3,65,35,21.9,15.4,14.9,8,18,10.04,9,0,,,101.76,101.65,101.64,101.52,99.71,99.6,99.59,99.47,24100,23766.7,20100,16100,,,,,0,5.5,18.4,16.4,13.4,0.3,0.3,0,,5:58:00,1721728680,5.97,20:49:00,1721782140,20.82,14.85,7,7,27,27,18,19,,,,,,8,6.4,5.5,3,,,,
2024-07-22,27.5,22.12,22.1,16.7,32,,77,64.1,62,47,17.4,14.9,15,12.6,17,9.79,10,3,,,101.87,101.63,101.64,101.42,99.81,99.57,99.58,99.36,24100,24100,24100,24100,,,,,0,4.1,17.1,15.1,12.1,0.3,0.3,0,,5:57:00,1721642220,5.95,20:50:00,1721695800,20.83,14.88,8,8,27,27,19,19,,,,,,8,5.3,4,0,,,,
2024-07-21,27.2,22.7,22.65,18.1,33,,75,63,63.5,52,17.8,15.3,15.1,12.4,25,9.54,14,3,31,35,101.86,101.77,101.78,101.7,99.8,99.71,99.72,99.64,24100,24100,24100,24100,,,,,0,4.7,17.6,15.7,12.7,0,0,0,,5:56:00,1721555760,5.93,20:51:00,1721609460,20.85,14.92,8,8,27,27,17,17,,,,,,8,5.5,5,2,,,,
2024-07-20,28.3,22.26,21.3,14.3,31,,96,59.5,69,42,15.4,13.5,13.6,11.8,21,11.5,13.5,6,31,32,101.97,101.8,101.8,101.63,99.9,99.73,99.74,99.57,24100,24100,24100,24100,,,,,0,3.3,16.3,14.3,11.3,0,0,0,,5:55:00,1721469300,5.92,20:52:00,1721523120,20.87,14.95,8,8,28,28,18,18,,,,,,7,3.6,3.5,0,,,,
2024-07-19,25.6,19.63,19.1,12.6,27,,91,62.6,66.5,42,13.6,11.9,12.4,11.2,18,10.92,10.5,3,28,14,102.2,102.05,102.04,101.89,100.12,99.98,99.97,99.82,24100,24100,24100,24100,,,,,0,1.1,14.1,12.1,9.1,0,0,0,,5:54:00,1721382840,5.9,20:53:00,1721436780,20.88,14.98,8,8,25,25,16,16,,,,,,6,2.2,3,0,,,,
2024-07-18,22.6,18.83,18.45,14.3,,,90,65.9,69.5,49,14.2,12.2,11.9,9.7,27,20.17,18.5,10,43,32,102.02,101.69,101.67,101.32,99.94,99.62,99.61,99.27,24100,24100,24100,24100,,,,,0,0.4,13.4,11.4,8.4,0,0,0,,5:53:00,1721296380,5.88,20:54:00,1721350440,20.9,15.02,6,7,23,23,14,14,,,,,,7,2.9,3.5,0,,,,
2024-07-17,27.8,23.17,22.35,16.9,32,,100,61.5,70,40,22.3,15,16.8,11.3,22,14.96,15.5,9,35,35,101.29,100.99,101.03,100.76,99.24,98.95,98.99,98.73,24100,24100,24100,24100,,,,,0,4.3,17.4,15.3,12.3,0,0,0,,5:52:00,1721209920,5.87,20:55:00,1721264100,20.92,15.05,9,9,28,28,16,19,,,,,,7,5.2,3.5,0,,,,
